Num_Acc,jour,mois,an,hrmn,lum,dep,com,agg,int,atm,col,adr,lat,long,catr,voie,v1,v2,circ,nbv,vosp,prof,pr,pr1,plan,lartpc,larrout,surf,infra,situ,vma
202000031753,26,9,2020,03:30,5,033,33063,2,2,3,1,BD DU PRESIDENT WILSON / RUE DE L'ECOLE NORMALE,44.84667,-0.59828,4,BD DU PRESIDENT WILSON,0,,3,6,2,1,(1),(1),1,, -1,2,5,1,50
202000031754,29,9,2020,12:25,1,033,33009,2,6,1,2,Avenue de la LibÃ©ration,44.65347,-1.15915,4,Avenue de la Libération,0,,2,2,0,1,(1),(1),1,, -1,1,0,8,50
202000031771,13,12,2020,19:40,3,033,33545,1,1,1,7,Rue du Calvaire,45.250971,-0.876353,4,,-1,,2,2,0,1,(1),(1),1,, -1,2,0,3,80
202000031797,11,12,2020,12:00,1,033,33080,1,1,8,1,Avenue de Saint-mÃ©dard-d'Eyrans,44.740993,-0.531037,3,108,0,,2,2,0,1,7,210,4,, -1,8,0,1,80
202000031844,12,12,2020,20:45,5,033,33063,2,2,3,3,CRS PORTAL,44.85429,-0.57224,4,CRS DE LA MARTINIQUE,0,,2,2,0,1,(1),(1),1,, -1,2,0,8,50
202000031845,12,12,2020,10:10,1,033,33063,2,3,2,6,AVE LOUIS BARTHOU CAUD,44.85222,-0.61464,4,AVE LOUIS BARTHOU CAUD,0,,2,2,0,1,(1),(1),1,, -1,2,5,1,50
202000031882,12,12,2020,16:20,1,033,33151,1,1,2,6,Lieu Dit le Gablezac,45.276848,-0.436299,3,253,0,,2,2,0,1,14,864,1,, -1,2,0,1,80
202000031903,11,12,2020,19:06,3,033,33435,1,6,1,2,D19,44.563907,-0.243872,3,19,-1,,2,2,0,1,41,815,1,, -1,2,0,8,50
202000031908,12,12,2020,19:45,3,033,33063,1,1,2,6,,44.885832,-0.56066,1,A 630,0,,3,6,0,1,4,599,3,, -1,2,3,1,50
202000032043,15,1,2020,07:52,1,033,33192,1,1,1,2,ROCADE A630,44.78621,-0.59505,1,A630,0,,3,6,0,1,27,489,1,, -1,1,0,1,90
202000032112,13,1,2020,12:38,1,033,33318,2,3,9,4,RUE JEAN PERRIN / RUE GASPARD MONGE,44.77901,-0.65996,4,RUE JEAN PERRIN,0,,2,2,0,1,(1),(1),1,, -1,1,0,1,50
202000032113,13,1,2020,13:50,1,033,33039,2,1,1,6,RUE DES FRERES LUMIERE (PARKING),44.79464,-0.53186,6,RUE DES FRERES LUMIERE,0,,-1,-1,0,1,(1),(1),1,, -1,1,0,1,20
202000032114,28,2,2020,12:10,1,033,33281,2,6,2,3,AVE DE MAGUDAS / AVE DE LA LIBERATION,44.85615,-0.6439,4,AVE DE MAGUDAS,0,,2,4,2,1,0,0,1,, -1,2,0,1,50
202000032223,4,7,2020,04:45,5,033,33063,2,1,1,7,BD ALBERT 1ER,44.8136262,-0.5660305,4,BD ALBERT 1ER,0,,3,4,0,1,(1),(1),1,, -1,1,0,1,50
202000032224,4,7,2020,03:55,5,033,33063,2,1,1,6,QUAI DE LA MONNAIE,44.8339,-0.56208,4,QUAI SAINTE- CROIX,0,,3,9,-1,1,(1),(1),1,, -1,1,0,1,50
202000032225,5,7,2020,00:20,5,033,33009,2,1,1,6,53 Boulevard Deganne,44.65516,-1.15149,4,DEGANNE (BD) DU 37 ET +,0,,2,4,2,1,(1),(1),1,, -1,1,9,1,50
202000032347,11,3,2020,13:10,1,033,33063,2,1,1,6,5 Rue Permentade,44.83258,-0.56746,4,RUE PERMENTADE,0,,1,1,0,1,(1),(1),1,, -1,1,0,1,50
202000032348,25,3,2020,07:10,1,033,33063,2,1,1,3,BD ALFRED DANEY,44.87434,-0.55605,4,BD ALFRED DANEY,0,,2,4,2,1,(1),(1),1,, -1,1,0,6,50
202000032433,15,2,2020,15:50,1,033,33514,1,2,1,1,D1215,45.50615,-1.09293,3,1215,0,,2,3,0,1,89,658,1,, -1,1,5,1,80
202000032532,14,2,2020,17:00,1,033,33397,1,1,1,5,AUTOROUTE A10,44.90237,-0.49346,1,10,0,,3,6,0,1,540,700,1,, -1,1,0,1,110
202000032618,14,2,2020,00:56,3,033,33075,1,1,2,6,ALL DE LA RESERVE,44.89449,-0.60309,4,ALL DE LA RESERVE,0,,2,2,0,3,(1),(1),2,, -1,2,0,1,50
202000032619,13,2,2020,18:10,2,033,33318,2,2,1,1,AVE ANTOINE BECQUEREL / RUE GUTENBERG,44.78829,-0.64636,4,AVE ANTOINE BECQUEREL,0,,2,3,-1,1,(1),(1),1,, -1,1,5,1,50
202000032621,13,2,2020,17:45,1,033,33550,2,3,1,2,Rue de Chambery / Rue Fernand Jarnac,44.76382,-0.56337,4,RUE DE CHAMBERY,0,,2,2,0,1,(1),(1),1,, -1,1,0,1,50
202000032622,5,2,2020,16:30,1,033,33281,2,2,1,3,AVE ARISTIDE BRIAND,44.82316,-0.65285,4,AVE ARISTIDE BRIAND,0,,2,4,2,1,(1),(1),1,, -1,1,0,1,30
202000032625,13,2,2020,14:15,1,033,33039,1,1,1,3,RUE DES FRERES LUMIERE,44.79337,-0.53484,4,RUE DES FRERES LUMIERE,0,,3,4,0,1,(1),(1),1,, -1,1,0,1,50
202000032627,14,2,2020,13:15,1,033,33522,2,1,1,-1,Boulevard du PrÃ©sident Franklin Roosevelt,44.81791,-0.57774,4,BD DU PDT FRANKLIN ROOSEVELT,0,,3,6,2,1,(1),(1),1,, -1,1,0,1,50
202000032629,13,2,2020,10:00,1,033,33281,2,1,2,3,AVE HENRI BARBUSSE,44.85626,-0.6408,4,AVE HENRI BARBUSSE,0,,2,2,0,1,(1),(1),1,, -1,2,0,1,50
202000032631,13,2,2020,07:15,3,033,33039,2,2,2,3,AVE DU MARECHAL LECLERC / RUE DU PRECHE / ALL BOYER,44.80957,-0.54223,4,AVE DU MARECHAL LECLERC,0,,2,4,2,1,(1),(1),1,, -1,2,0,1,30
202000032633,12,2,2020,07:40,2,033,33529,2,1,1,2,CAZAUX (BD DE),44.61183,-1.134,3,112,0,,2,2,0,1,2,595,1,, -1,1,0,1,50
202000032634,8,2,2020,05:15,5,033,33529,1,6,1,1,RD 1250 (Camicas - Sortie Dune),44.62248,-1.15986,3,1250,0,,2,2,0,1,44,385,2,, -1,1,0,1,80
202000032637,7,3,2020,14:50,1,033,33119,2,1,1,6,Rue Aristide Briand,44.86163,-0.52327,4,RUE ARISTIDE BRIAND,0,,2,2,0,1,(1),(1),1,, -1,1,0,1,30
