Num_Acc,an,mois,jour,hrmn,lum,agg,int,atm,col,com,adr,gps,lat,long,dep,catr,voie,v1,v2,circ,nbv,pr,pr1,vosp,prof,plan,lartpc,larrout,surf,infra,situ,env1
200500003145,5,1,4,752,2,2,1,1,2,281.0,"91, LIBERATION (AVE DE L",,,,330,4.0,0.0,0.0,,2,2,,,0,1,1,0,780,1,0,1,0
200500003146,5,1,4,2000,5,2,1,1,6,63.0,"30, CLEMENCEAU (CRS GEOR",,,,330,4.0,0.0,0.0,,3,2,,,0,1,1,0,160,1,0,1,0
200500003147,5,1,5,1220,1,2,1,1,6,63.0,"330, WILSON (BD DU PRESI",,,,330,4.0,0.0,0.0,,3,2,,,1,1,1,15,55,1,0,1,0
200500003148,5,1,5,1610,1,2,2,1,3,63.0,AUBER (CRS JOURNU),,,,330,4.0,0.0,0.0,,2,2,,,0,1,1,0,0,1,0,1,0
200500003149,5,1,3,755,5,2,7,1,6,192.0,ROUMEGOUX (PCE BERNARD),,,,330,4.0,0.0,0.0,,1,1,,,0,1,1,42,9,1,0,1,0
200500003150,5,1,3,1650,1,2,1,1,5,550.0,TOULOUSE (RTE DE),,,,330,4.0,0.0,0.0,,3,2,,,0,1,1,16,50,1,0,1,0
200500003151,5,1,5,1805,5,2,3,1,6,63.0,RACCORDEMENT (CRS DU),,,,330,4.0,0.0,0.0,,2,2,,,2,1,1,0,85,1,0,1,0
200500003152,5,1,6,1405,1,2,2,1,3,63.0,ALBRET (CRS D),,,,330,4.0,0.0,0.0,,3,2,,,0,1,1,0,0,1,0,1,0
200500003153,5,1,6,1715,1,2,3,1,3,63.0,NAUJAC (RUE ),,,,330,4.0,0.0,0.0,,1,1,,,0,1,1,0,30,1,0,1,0
200500003154,5,1,6,1835,5,2,3,1,6,63.0,LOIS (RUE ESPRIT-DES),,,,330,4.0,0.0,0.0,,3,2,,,0,3,1,0,62,1,0,1,0
200500003155,5,1,1,700,5,2,1,1,6,63.0,BRICAUD (CRS CHARLES),,,,330,4.0,0.0,0.0,,1,2,,,0,1,0,0,0,1,0,1,0
200500003156,5,1,6,2335,5,2,2,1,3,63.0,GAUTIER (BD ANTOINE),,,,330,4.0,0.0,0.0,,3,2,,,0,1,1,0,67,1,0,1,99
200500003157,5,1,7,2120,5,2,2,1,3,63.0,CURSOL (RUE DE),,,,330,4.0,0.0,0.0,,3,1,,,0,1,1,0,75,1,0,1,0
200500003158,5,1,7,1615,1,2,2,1,5,63.0,SOMME (CRS DE LA),,,,330,4.0,0.0,0.0,,2,2,,,2,1,1,0,117,1,0,1,0
200500003159,5,1,8,2000,3,2,1,1,6,63.0,MALBEC (RUE ),,,,330,4.0,0.0,0.0,,1,1,,,1,1,1,0,67,1,0,1,0
