IDENT;HPM_VAL;HPS_VAL;MJO_VAL;HPM_%;HPS_%;MJO_%;PL_VAL;PL_%;VIT_VAL;VIT_EVO;COMMENT;NOM_VOIE;SENS_CIR;V85_VL;V85_PL
Z29CS;655;1130;12180;26.0;-10.3;1.3;427;1.8;35;-12.5;;Cenon Blvd de l'Entre-deux-Mers;Sens Sortant;;
Z13CT15;287;279;3504;-20.8;-25.1;-21.2;;;;;;Bordeaux Rue de Tivoli;Sens Sortant;;
Z29CT15;397;374;4629;-26.7;-14.1;-19.4;;;;;;Cenon Av. Clémenceau avant 8 mai 45;Sens Sortant;;
Z13CT2;816;891;15967;1.9;-5.6;-2.6;;;;;;Bordeaux Blvd Pierre 1er après Tivoli;Nord > Sud;;
Z29CT2;448;371;4432;-1.5;-4.4;-3.9;;;;;;Floirac Monrepos avant Cours Gambetta;Sens Entrant;;
Z13CT20;364;459;5802;3.7;6.0;4.2;;;;;;Bordeaux Av. d'Eysines avant F. Faure;Sens Sortant;;
Z29CT4;241;187;2560;3.0;5.5;2.8;;;;;;Bordeaux Rue Galin;Sens Entrant;;
Z13CT3;835;781;13250;-2.2;-2.9;-3.2;;;;;;Bordeaux Blvd Wilson après Eysines;Nord > Sud;;
Z2CT10;443;355;5905;1.2;3.7;5.9;;;;;;Bordeaux Cursol après Pasteur;Sens Entrant;;
Z13CT5;1381;1401;22012;-2.9;-3.9;-10.3;;;;;;Bordeaux Blvd Wilson après Carnot;Sud > Nord;;
Z2CT21;221;293;3766;-23.0;-25.1;-21.6;;;;;;Bordeaux Descente => Allamandier;Bretelle Nord > Sud Descente > Allamandier;;
Z14CT1;943;701;13251;-1.2;-7.0;-1.2;;;;;;Bordeaux Blvd Godard avant Trébod;Sud > Nord;;
Z2CT23;206;353;3893;-29.3;-19.4;-28.1;;;;;;Bordeaux Rue de Belfort après Juin;Nord > Sud;;
Z14CT10;903;913;13689;-8.6;-9.2;-3.5;;;;;;Bordeaux Blvd A. Daney avant Ravesies;Nord > Sud;;
Z2CT3;524;596;9322;-2.9;-2.0;-1.8;;;;;;Bordeaux Cours V Hugo Bir Hakeim/Rousselle;Sens Entrant;;
Z14CT13;384;334;5626;-3.0;-3.1;0.5;;;;;;Bordeaux Quai Chartrons;Nord > Sud;;
Z2CT7;385;310;4656;-8.3;-11.5;-10.9;;;;;;Bordeaux Juin A.France;Sens Sortant;;
Z14CT15;794;839;11920;10.1;1.2;5.7;;;;;;Bordeaux Rue Faure;Sens Sortant;;
Z30BE;376;600;6283;53.5;12.7;13.1;235;12.9;;;;Mérignac Av. de la Marne;Sens Entrant;;
Z14CT17;839;755;12306;2.0;-3.1;10.8;;;;;;Bordeaux Rue L. Faure;Sens Sortant;;
Z30CT14;438;501;6223;-3.9;6.6;3.6;;;;;;Mérignac Av. Mendès-France;Nord > Sud;;
Z14CT18;269;197;3315;15.9;-1.3;8.6;;;;;;Bordeaux Quai de Bacalan après L. Faure;Sud > Nord;;
Z30CT17;397;437;5795;3.3;-3.6;2.7;;;;;;Mérignac Av. Mendès-France;Sud > Nord;;
Z14CT2;921;666;13638;-0.6;-5.4;1.9;;;;;;Bordeaux Blvd Godard avant Jeanvrot;Sud > Nord;;
Z30CT19;563;382;5494;6.1;5.6;3.6;;;;;;Mérignac Av. Maréchal Leclerc après Coty;Nord > Sud;;
Z14CT21;281;309;5267;3.8;4.9;4.1;;;;;;Bordeaux Boulevard Alfred Daney;Sens Sortant;;
Z30CT20;159;472;3702;8.0;11.2;8.9;;;;;;Mérignac Av. Maréchal Leclerc;Sud > Nord;;
Z14CT22;1197;975;14025;5.2;-0.3;2.1;;;;;;Bordeaux Pont Chaban Delmas;Sens Entrant;;
Z30CT24;164;249;1931;-4.2;3.4;-3.8;;;;;;Mérignac Eyquems avant Rue Bourly;Sens Entrant;;
Z14CT24;901;695;10793;0.9;0.0;1.9;;;;;;Bordeaux Brazza avant le pont;Nord > Sud;;
Z31CT2;550;858;9453;-4.8;-6.0;-6.7;;;;;;Bassens Côte de la Garonne;Nord > Sud;;
Z14CT3;900;1099;14272;-2.9;-5.0;-0.7;;;;;;Bordeaux Pont Chaban Delmas;Sens Sortant;;
Z31CT4;185;308;4717;-19.7;-10.9;-7.2;;;;;;Bassens Sortie autoroute Ech. 2;Bretelle Sortante Nord;;
