IDENT;HPM_VAL;HPS_VAL;MJO_VAL;HPM_%;HPS_%;MJO_%;PL_VAL;PL_%;VIT_VAL;VIT_EVO;COMMENT;NOM_VOIE;SENS_CIR;V85_VL;V85_PL
Z24CT7;81;329;2552;-10,98%;7,55%;6,34%;;;;;;Mérignac Daudet avant Magudas;Sud > Nord;;
Z24CT8;1333;1243;15791;-4,83%;-5,99%;-2,54%;;;;;;Mérignac Magudas avant rocade;Sens Sortant;;
Z24CT13;342;472;5238;4,96%;-0,84%;3,84%;;;;;;Le Haillan G. Eiffel après Laplace;Sud > Nord;;
Z25CT2;984;467;6489;-1,41%;-4,64%;-1,91%;;;;;;Bordeaux Cours Bricaud après giratoire;Sens Sortant;;
Z25CT4;2805;1752;30300;;;;;;;;;Bordeaux Cours Bricaud avant 3 Cardinaux;Sens Sortant;;
Z25CT11;768;871;7931;-3,60%;0,46%;-0,11%;;;;;;Bordeaux All. Boutaut avant Claudeville;Sens Entrant;;
Z25CT13;537;499;6496;-15,77%;-13,92%;-5,86%;;;;;;Bordeaux Allée de Boutaut après Laroque;Sens Sortant;;
Z25CT18;186;493;3481;-3,97%;-0,49%;-1,33%;;;;;;Bordeaux Domergue S>N avant rocade;Sud > Nord;;
Z25CT22;96;225;2068;8,90%;27,79%;19,27%;;;;;;Bordeaux Brunet  apres Brandenbourg;Sud > Nord;;
Z25CT23;261;231;2943;2,78%;4,40%;1,93%;;;;;;Bordeaux Achard niveau Pourmann;Sens Sortant;;
Z25CT24;79;123;1071;-10,80%;8,27%;-1,17%;;;;;;Bordeaux Brunet avant Brandenburg;Sens Entrant;;
Z26CT4;352;356;5836;-0,12%;26,29%;11,52%;;;;;;Bordeaux Carle Vernet  avant Armagnac;Sens Entrant;;
Z27CT1;608;588;7417;1,32%;-1,33%;-0,98%;;;;;;Pessac Av. Leclerc avant Félix Faure;Sens Entrant;;
Z27CT5;307;544;5673;-17,60%;-1,26%;1,41%;;;;;;Pessac Av. du Haut Lévêque après le CHR;Sud > Nord;;
Z27CT7;441;540;5323;-5,15%;-8,61%;-5,00%;;;;;;Pessa Av du bourgailh après Socrate;Nord > Sud;;
Z27CT9;720;965;10564;-0,94%;2,10%;-2,49%;;;;;;Pessac Av. du Bourghail après Monbalon;Nord > Sud;;
Z27CT12;638;639;8269;0,50%;-1,55%;-0,13%;;;;;;Pessac Av. Leclerc avant Meyraud;Sens Entrant;;
